Borrowers,Categories,Lenders,Time of Loan Execution,Term of the Loan,External Reviewer,Loan Amount,Currency,Sustainability Performance Targets,Characteristics of the loan,Reporting Policy
"Daiichi Lpgistics
（ダイイチロジスティクス）",Transportation,"The Chiba Bank, Ltd.","January, 2024",ー,Chibagin Research Institute Corporation,0.1,billion yen,"CO2 emissions per 100 million yen of sales (t-CO2/100 million yen)
（actual result：FY2022　143.750　t-CO2/100 million yen）
【Target for each fiscal year】
(t-CO2/100 million yen、Figures in parentheses are reduction rates compared to FY2022） 
FY2023  139.868 (▲2.7％)
FY2024  135.987 (▲5.4％)
FY2025  132.106 (▲8.1％)
FY2026  128.225 (▲10.8％)
FY2027  124.343 (▲13.5％)","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"FUJII MANUFACTURING CO.,LTD.",Manufacturing,"The Chiba Bank, Ltd.","January, 2024",ー,Chibagin Research Institute Corporation,0.15,billion yen,"Reduce CO2 emissions per ton of metal produced to 24.3% of the FY2022 level by FY2031.
【Target for each fiscal year】
（actual result：FY2022　2.2217　t-CO2）
FY2023　▲2.7％
FY2024　▲5.4％
FY2025　▲8.1％
FY2026　▲10.8％
FY2027　▲13.5％
FY2028　▲16.2％
FY2029　▲18.9％
FY2030　▲21.6％
FY2031　▲24.3％","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"Honda Cars Minami-Chiba
(ホンダカーズ南千葉)",Wholesale and retail trade,"The Chiba Bank, Ltd.","January, 2024",ー,Chibagin Research Institute Corporation,0.2,billion yen,"CO2 emissions（t－CO2）
（actual result：CO2 emissions in FY2022   124.914　t-CO2）
【Target】
(t－CO2、Figures in parentheses are reduction rates compared to FY2022）
FY2023  121.541 (▲2.7％)
FY2024  118.168 (▲5.4％)
FY2025  114.796 (▲8.1％)
FY2026  111.423 (▲10.8％)
FY2027  108.05  (▲13.5％)
FY2028  104.678 (▲16.2％)
FY2029  101.305 (▲18.9％)","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
HYV,Others (including service industry),"The Chiba Bank, Ltd.","January, 2024",ー,Chibagin Research Institute Corporation,0.35,billion yen,"CO2 emissions per 100 million yen of sales (t-CO2/100 million yen)
（actual result：FY2022　 17.2080　t-CO2/100 million yen）
【Target for each fiscal year】
(t-CO2/100 million yen、Figures in parentheses are reduction rates compared to FY2022）
FY2024  16.7434 (▲2.7％)
FY2025  16.2788 (▲5.4％)
FY2026  15.8142 (▲8.1％)
FY2027  15.3495 (▲10.8％)
FY2028  14.8849 (▲13.5％)","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"IKEDA
（池田工業）",Others (including service industry),"The Chiba Bank, Ltd.","January, 2024",ー,Chibagin Research Institute Corporation,0.18,billion yen,"Reduce CO2 emissions to 24.3% of FY2022 levels by FY2031
（actual result：FY2022　172.70　t-CO2）
【Target for each fiscal year】
FY2023　▲2.7％
FY2024　▲5.4％
FY2025　▲8.1％
FY2026　▲10.8％
FY2027　▲13.5％
FY2028　▲16.2％
FY2029　▲18.9％
FY2030　▲21.6％
FY2031　▲24.3％","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"KS Kyusou
（ケイエス急送有限会社）",Transportation,"The Chiba Bank, Ltd.","January, 2024",ー,Chibagin Research Institute Corporation,0.1,billion yen,"Reduce CO2 emissions per 100 million yen in sales to 24.3% of the FY2022 level by FY2031.
（actual result：FY2022　164.8279　t-CO2/100 million yen）
【Target for each fiscal year】
FY2023　▲2.7％
FY2024　▲5.4％
FY2025　▲8.1％
FY2026　▲10.8％
FY2027　▲13.5％
FY2028　▲16.2％
FY2029　▲18.9％
FY2030　▲21.6％
FY2031　▲24.3％","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"MUGEN ESTATE Co., Ltd.",Real estate and construction,"The Chiba Bank, Ltd.","January, 2024",ー,Chibagin Research Institute Corporation,0.3,billion yen,"CO2 emission reduction rate per 100 million yen of consolidated net sales (compared to FY2021)
（actual result： CO2 emissions in FY2021  0.5674　t-CO2/100 million yen）
【Target】
FY2024 ▲15.3％ 
FY2025 ▲20.4％ 
FY2026 ▲25.5％ 
FY2027 ▲30.6％","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
NEXT ONE,Energy,"The Chiba Bank, Ltd.","January, 2024",ー,Chibagin Research Institute Corporation,0.1,billion yen,"SPT1-CO2 emissions（t－CO2） 
（actual result：CO2 emissions in FY2022   11.371　t-CO2）
【Target】
(t－CO2、Figures in parentheses are reduction rates compared to FY2022）
FY2023　 11.064 (▲2.7％)
FY2024　 10.757 (▲5.4％)
FY2025　 10.450 (▲8.1％)

SPT2-Employment of persons with disabilities　
【Target】
(Ratio of employees with disabilities: 2.7% or more)
FY2023　 5人
FY2024　10人
FY2025　15人","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
STAGE　ONE,"Food, Beverages, Tobacco, etc.","The Chiba Bank, Ltd.","January, 2024",ー,Chibagin Research Institute Corporation,0.1,billion yen,"Reduce CO2 emissions per 100 million yen in sales to 27.0% of the FY2022 level by FY2032.
（actual result：FY2022　33.9008　t-CO2/100 million yen）
【Target for each fiscal year】
FY2023　▲2.7％
FY2024　▲5.4％
FY2025　▲8.1％
FY2026　▲10.8％
FY2027　▲13.5％
FY2028　▲16.2％
FY2029　▲18.9％
FY2030　▲21.6％
FY2031　▲24.3％
FY2032  ▲27.0%","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"TAIKI Co.,LTD.",Wholesale and retail trade,"The Chiba Bank, Ltd.","January, 2024",ー,Chibagin Research Institute Corporation,0.1,billion yen,"CO2 emissions per 100 million yen of sales (t-CO2/100 million yen)
（actual result：FY2022　29.3582　t-CO2/100 million yen）
【Target for each fiscal year】
(t-CO2/100 million yen、Figures in parentheses are reduction rates compared to FY2022） 
FY2023  28.5655 (▲2.7％)
FY2024  27.7728 (▲5.4％)
FY2025  26.9802 (▲8.1％)
FY2026  26.1875 (▲10.8％)
FY2027  25.3948 (▲13.5％)","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"TAKEISHI
（竹石産業）",Others (including service industry),"The Chiba Bank, Ltd.","January, 2024",ー,Chibagin Research Institute Corporation,0.134,billion yen,"Reduce CO2 emissions per 100 million yen in sales to 27.0% of the FY2022 level by FY2032.
（actual result：FY2022　94.8749　t-CO2/100 million yen）
【Target for each fiscal year】
FY2023　▲2.7％
FY2024　▲5.4％
FY2025　▲8.1％
FY2026　▲10.8％
FY2027　▲13.5％
FY2028　▲16.2％
FY2029　▲18.9％
FY2030　▲21.6％
FY2031　▲24.3％
FY2032  ▲27.0%","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
THE OKIGIN GENERAL LEASE COMPANY LIMITED.,Finance (including REITs),"The Bank of Okinawa, Ltd","January, 2024",ー,"Rating & Investment Information, Inc. ※",ー,ー,Number of transactions of equipment and facilities that contribute to energy conservation and decarbonization,"The incentive design is such that the achievement of SPTs is checked annually, and interest rates are reduced when they are achieved.","In principle, once a year, the status of achievement of the SPTs shall be reported to the Bank of Okinawa's branch offices using the prescribed form. The report should also include prima facie evidence and data necessary for verification. In principle, the Bank does not require the borrower to disclose the contents of the reports on its website or other media."
"Vinaiota
（ヴィナイオータ）","Food, Beverages, Tobacco, etc.","The Chiba Bank, Ltd.","January, 2024",ー,Chibagin Research Institute Corporation,0.15,billion yen,"CO2 emissions per 100 million yen of sales (t-CO2/100 million yen)
（actual result：FY2022　5.3097　t-CO2/100 million yen）
【Target for each fiscal year】
(t-CO2/100 million yen、Figures in parentheses are reduction rates compared to FY2022）
FY2024 5.023 (▲5.4％)
FY2025 4.8796 (▲8.1％)
FY2026 4.7363 (▲10.8％)
FY2027 4.5929 (▲13.5％)","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"ESUYU-TECH
(有限会社 エスユー)","Electronic components, devices, information equipment, etc.","The Bank of Kyoto, Ltd.","October-December,2023",ー,"Japan Credit Rating Agency, Ltd.",ー,ー,Reduction of CO2 emissions from business activities ,Incentives such as preferential interest rates are given based on the achievement of SPTs,Emission reduction plans and reduction reports of the borrower will be published on the Kyoto Prefecture website once a year until the loan is repaid.
"Kibundo Co., Ltd.",Wholesale and retail trade,"The Bank of Kyoto, Ltd.","October-December,2023",ー,"Japan Credit Rating Agency, Ltd.",ー,ー,Reduction of CO2 emissions from business activities ,Incentives such as preferential interest rates are given based on the achievement of SPTs,Emission reduction plans and reduction reports of the borrower will be published on the Kyoto Prefecture website once a year until the loan is repaid.
"koyu-planning
(有限会社　コーユー企画)",Manufacturing,"The Bank of Kyoto, Ltd.","October-December,2023",ー,"Japan Credit Rating Agency, Ltd.",ー,ー,Reduction of CO2 emissions from business activities ,Incentives such as preferential interest rates are given based on the achievement of SPTs,Emission reduction plans and reduction reports of the borrower will be published on the Kyoto Prefecture website once a year until the loan is repaid.
"Nissho
(日昌製作所)",Manufacturing,"The Bank of Kyoto, Ltd.","October-December,2023",ー,"Japan Credit Rating Agency, Ltd.",ー,ー,Reduction of CO2 emissions from business activities ,Incentives such as preferential interest rates are given based on the achievement of SPTs,Emission reduction plans and reduction reports of the borrower will be published on the Kyoto Prefecture website once a year until the loan is repaid.
"Ajisai
（有限会社あじさい）",Others (including service industry),"The Gunma Bank,Ltd.","December, 2023",ー,"Gungin Consulting Co., Ltd.",ー,ー,Reduce greenhouse gas emissions by 2.7% per year from the FY2023/7 baseline,The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
JUKI,Manufacturing,"Mizuho Bank, Ltd.","December, 2023",ー,"Rating & Investment Information, Inc. ※",2.6,billion yen,"Reduce Scope 1+2 emissions by 50% from FY 2013 levels by FY 2030
【Target for each fiscal year】
FY2023 ▲30%
FY2024 ▲33%
FY2025 ▲37%
FY2026 ▲39%
FY2027 ▲42%
FY2028 ▲45%
FY2029 ▲48%
FY2030 ▲50%","If SPTs are not achieved, financial characteristics of the loan will change.","JUKI shall disclose its latest performance related to the KPIs on its website at least once a year until the loan is repaid, up to the date of the decision."
JUKI,Manufacturing,Development Bank of Japan Inc.  ,"December, 2023",ー,"Rating & Investment Information, Inc. ※",ー,ー,"Reduce Scope 1+2 emissions by 50% from FY 2013 levels by FY 2030
【Target for each fiscal year】
FY2023 ▲30%
FY2024 ▲33%
FY2025 ▲37%
FY2026 ▲39%
FY2027 ▲42%
FY2028 ▲45%
FY2029 ▲48%
FY2030 ▲50%","If SPTs are not achieved, financial characteristics of the loan will change.","JUKI shall disclose its latest performance related to the KPIs on its website at least once a year until the loan is repaid, up to the date of the decision."
JUKI,Manufacturing,"THE SHIZUOKA BANK, LTD.","December, 2023",ー,"Rating & Investment Information, Inc. ※",0.19,billion yen,"Reduce Scope 1+2 emissions by 50% from FY 2013 levels by FY 2030
【Target for each fiscal year】
FY2023 ▲30%
FY2024 ▲33%
FY2025 ▲37%
FY2026 ▲39%
FY2027 ▲42%
FY2028 ▲45%
FY2029 ▲48%
FY2030 ▲50%","If SPTs are not achieved, financial characteristics of the loan will change.","JUKI shall disclose its latest performance related to the KPIs on its website at least once a year until the loan is repaid, up to the date of the decision."
"KANSAIJYUTAKUHANBAI Co.,Ltd.",Real estate and construction,"THE YAMAGUCHI BANK, LTD.","December, 2023",7 years,"Rating & Investment Information, Inc.　　※",0.2,billion yen,"【Target】
FY2024 55% or more
FY2025 55% or more
FY2026 55% or more
FY2027 55% or more
FY2028 55% or more
FY2029 55% or more","The SPTs' achievement status is checked annually, and the incentive is designed to reduce the interest rate when the SPTs are achieved.","In principle, once a year, the status of achievement of SPTs will be reported to Yamaguchi Bank's branch offices using the prescribed form. The report should also include evidence, data, and other prima facie evidence necessary for the verification work."
"mitsuibau materials co.
(ミツイバウ・マテリアル)",Wholesale and retail trade,"THE HYAKUGO BANK,LTD.","December, 2023",ー,"Rating & Investment Information, Inc.　　※",ー,ー,"Reduction rate of greenhouse gas emissions 　(compared to 2022/Mar.)
【Target】
2024/Mar. 9.34%
2025/Mar. 14.01%
2026/Mar. 18.68%
2027/Mar. 23.35%
2028/Mar. 28.02%
2029/Mar. 32.69%","The SPTs' achievement status is checked annually, and the incentive design is such that interest rates are reduced upon achievement.",The Borrower will report annually on the status of SPTs achievement to Hyakugo Bank's sales offices over the term of the loan. The contents of the reports will not be made public on the borrower's website.
"Toyu Kogyo
（豊裕工業）",Real estate and construction,"The Gunma Bank,Ltd.","December, 2023",ー,"Gungin Consulting Co., Ltd.",ー,ー,Reduce greenhouse gas emissions by 2.7% per year from the FY2023/7 baseline,The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
TSUKASA PETCO Ltd.,Wholesale and retail trade,"The Gunma Bank,Ltd.","December, 2023",ー,"Gungin Consulting Co., Ltd.",ー,ー,Reduce greenhouse gas emissions by 2.7% per year from the FY2023/9 baseline,The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
"Yaotoku Eel Restaurant Ltd.
(有限会社八百徳鰻料理店)",Others (including service industry),Hamamatsu Iwata Shinkin Bank,"December, 2023",10 years,Shinkin Economic Research Institute etc.,0.1,billion yen,Reduction of food waste after cooking（KPI）,The incentive design is designed to reduce interest rates upon achievement of SPTs. The interest rate reductions upon achievement are not cumulative and will revert to the original level of interest rates when not achieved.,"The borrower will report the status of achievement of SPTs to Hamamatsu Iwata Shinkin Bank's branch offices once a year in principle until the fulfillment of obligations under the framework is completed, based on the contents of the covenants signed at the time of loan disbursement. The report shall also include prima facie evidence and data necessary for verification work. The contents of the reports and prima facie evidence will be shared with the Community Revitalization Section at the head office and third-party organizations such as the Shinkin Economic Research Institute, which will conduct the verification work. Publication of the contents of the report is at the borrower's discretion."
"Fuji Seimitsu
(フジ精密)",Manufacturing,THE GIFU SHINKIN BANK,"December, 2023",3 years,"Rating & Investment Information, Inc.　※",0.05,billion yen,Reduce CO2 emissions per square meter of floor space (intensity basis) in the Group by 12.6% in the fiscal year ending February 2026 compared to the fiscal year ending February 2023.,"・The preferential interest rate is a prerequisite to motivate the reduction of CO2 emissions. 
・Since the preferential interest rate is applied from the beginning, the interest rate will not be additionally reduced when the SPT is achieved. 
・If the SPT is not achieved in a single period, the company will be asked to prepare a business plan to achieve the target. 
・If the SPT is not achieved for two consecutive terms, the interest rate will be raised by 0.1%. 
・Thereafter, the loan interest rate will remain raised as long as the SPT remains unachieved.",Fuji Seimitsu shall report annually to THE GIFU SHINKIN BANK on the status of SPT achievement.
Kansai Metal Industry,Manufacturing,"The Hiroshima Bank, Ltd. ","December, 2023",10 years,HIROGIN area design Co. Ltd. ,0.03,billion yen,"Gradual reduction of the content of isopropyl alcohol used in the plating process
【Target for each fiscal year】(IPA content rate)
FY2023 4.75%
FY2024 4.50%
FY2025 4.25%
FY2026 4.00%
FY2027 3.75%
FY2028 3.50%
FY2029 3.25%
FY2030 3.00%
FY2031 2.75%
FY2032 2.50%","The interest rate applied during the term of the loan will be determined by the achievement of the following requirements
(1) The borrower must report to the lender in writing on the progress of its initiatives.
(2) The SPT target figures must be achieved.

If (1) is complied with, the spread will remain the same even if (2) is not met.
If (1) is complied with and (2) is achieved, the spread is designed to decrease.",The Borrower intends to provide the Lender with a written statement of its achievement of the SPT. The Borrower intends to make a statement on the Lender's website that this financing is based on a Sustainability Linked Loan.
"Liberal Solutions
（リベラルソリューション）",Energy,"The Gunma Bank,Ltd.","December, 2023",ー,"Gungin Consulting Co., Ltd.",ー,ー,Reduce greenhouse gas emissions by 2.7% per year from the FY2023 baseline,The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
"Life Partners, Inc.
(ライフパートナー)",Real estate and construction,"THE SHONAI BANK, LTD.","December, 2023",ー,"Rating & Investment Information, Inc.　※",0.09,billion yen,Improvement of paid leave utilization rate,"The incentive design is such that when SPTs are achieved, the interest rate is reduced based on the terms of the contract. The interest rate reductions upon achievement are not cumulative, and if the SPTs are not reached, the interest rate is increased by a level equal to the reduction.","In principle, the borrower shall report the status of achievement of the SPTs to the branch once a year. The report should also include prima facie evidence and data necessary for verification. In principle, the contents of the reports are not disclosed to the public."
SVI,Energy,"The Gunma Bank,Ltd.","December, 2023",ー,"Gungin Consulting Co., Ltd.",ー,ー,Increased Sun Village Group's owned renewable energy generation capacity by 1.8 MW year-on-year,The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
"AKIMO Co., Ltd.","Food, Beverages, Tobacco, etc.","The Gunma Bank,Ltd.","December, 2023",ー,"Gungin Consulting Co., Ltd.",ー,ー,Reduce greenhouse gas emissions by 2.7% per year from the FY2023 baseline,The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
"Kakuta-Truck Co.,Ltd.",Wholesale and retail trade,"The Gunma Bank,Ltd.","December, 2023",ー,"Gungin Consulting Co., Ltd.",ー,ー,Reduce greenhouse gas emissions by 2.7% per year from the FY2023/7 baseline,The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
"Fuyo General Lease Co.,Ltd.",Finance (including REITs),"Syndication method 
(Arranger:Sumitomo Mitsui Banking Corporation）SBI Shinsei Bank, Limited、The Kiyo Bank, Ltd. 、The Gunma Bank,Ltd.、THE SHONAI BANK, LTD.、The Joyo Bank, Ltd.、Suruga Bank Ltd.、The Tokyo Star Bank, Limited、THE BANK OF FUKUOKA., LTD.、Sumitomo Mitsui Banking Corporation、The Minato Bank, Ltd.","December, 2023",ー,"Japan Credit Rating Agency, Ltd.　※",39.8,billion yen,"1. Actual contribution to CO2 reduction in FY2025 (FY2026) is 420,000 tCO2/year or more
2. human resource development-related expenses (non-consolidated) in FY2025 (FY2026): 263% or more of FY2021 level",Financial and structural characteristics vary depending on whether SPTs have been achieved as of the date of determination,"Fuyo General Lease plans to disclose the following information on its website or to lenders on an annual basis. 
- Latest KPIs results 
- Progress on SPTs
- Information on the issuer's latest sustainability strategy as it relates to the KPIs and SPTs 
- If SPTs have not been met and donations have been made, the recipients of the donations, the amount of the donations, and the timing of the donations"
"&Do Holdings Co.,Ltd.",Real estate and construction,"The Hyakujushi Bank, Ltd.","December, 2023",ー,114 Economic Research Institute,ー,ー,"Effective continuous employment rate after taking childcare leave
【Target】
2024/6 100%
2025/6 100%
2026/6 100%","A mechanism has been set up to check the achievement status of SPTs on an annual basis in principle, and to reduce interest rates according to the level of achievement.","Annually, until the fulfillment of obligations is completed, the status of achievement of SPTs will be checked in the prescribed form."
"Human Care Project
（ヒューマンケア企画）",Others (including service industry),"The Gunma Bank,Ltd.","December, 2023",ー,"Gungin Consulting Co., Ltd.",ー,ー,"Introduce at least one next-generation vehicle* in every fiscal year starting in FY2024/8 and increase the percentage of next-generation vehicles introduced to at least 50%.
*Next-generation vehicles include fuel cell vehicles, electric vehicles, natural gas vehicles, hybrid vehicles, plug-in hybrid vehicles, and clean diesel vehicles.",The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
JOWA ELECTRICAL COMPANY,Manufacturing,"The 77 Bank, Ltd.","December, 2023",ー,"77 Research and Consulting Co.,Ltd.",0.05,billion yen,"Reduce CO2 emissions per million yen of sales (Scope 1 and 2) by 4.2% each year based on the average of the fiscal years ending February 2022 and February 2023, and by 30% by 2030.","The incentive design is set to reduce the interest rate when the SPTs are achieved. The interest rate reductions upon achievement are not cumulative, and if the SPTs are not reached, the interest rate is raised by the same level as the reduction.","Once a year, the SPTs shall report information on the status of achievement, etc. of the SPTs. The report shall include prima facie evidence and data necessary for the verification work. Publication of the contents of the reports on the Borrower's website, etc. shall be at the discretion of the Borrower."
"Kasumigaseki Capital Co.,Ltd.",Real estate and construction,"The Senshu Ikeda Bank, Ltd.","December, 2023",5 years,"Rating & Investment Information, Inc.　※",0.3,billion yen,Obtain a certification rank of A or 4 stars or higher out of the environmental certifications for all logistics facilities completed in each fiscal year.,"(1) Step up/step down the interest rate or (2) Make a donation, depending on the achievement of the SPT",KPI Actual and other items shall be disclosed on the Kasumigaseki website for the period of the fiscal year preceding the fiscal year to which the reporting date belongs. 
"Renewable Japan Co.,Ltd.",Energy,"THE YAMANASHI CHUO BANK, LTD.","December, 2023",ー,"Rating & Investment Information, Inc. ※",0.3,billion yen,Net increase in domestic PV plant capacity in each year through the end of December 2031  70MW,"Each fiscal year, the Bank will check the achievement of the SPT, and if the SPT is achieved, the prescribed interest rate is designed to be reduced from the first interest calculation period after the SPT determination date; if the SPT is not achieved, the interest rate will return to the level before the reduction.","The Borrower shall report to the Lender by March of the following year on its performance in achieving the SPT for the previous year. However, if the borrower posts the information on its website and informs the lender that it has posted the information, the report shall be deemed to have been fulfilled.When the information is posted on the website, it will be announced in the financial statements."
"ecostyle co.,ltd.",Energy,"The Kiyo Bank, Ltd. ","December, 2023",5 years,Wakayama Institute for Social & Economic Development,0.4,billion yen,Set the installed capacity of solar panels for a single year from FY2023 to FY2027,"The incentive design is designed to check the achievement of the SPTs each year and reduce the interest rate when they are achieved. The interest rate cut upon achievement is not cumulative, and if the SPTs are not reached, the interest rate is raised by the same level as the reduction.","Borrowers will report annually to Kiyo Bank sales branches on their progress in achieving SPTs over the term of the loan. The contents of the reports will be shared with the Wakayama Institute for Social and Economic Research through the Sales Planning Department. Borrowers are not required to disclose the contents of the reports on their websites, etc."
Japan Real Estate Investment Corporation,Finance (including REITs),"THE BANK OF FUKUOKA., LTD.","December, 2023",10 years,"Japan Credit Rating Agency, Ltd.",1.5,billion yen,"Reduce CO2 emissions by 80% by FY2030 (compared to FY2019, on a total amount basis)",The arrangement allows the financial characteristics to vary depending on the achievement of the SPT. The changes include a step-up/step-down in the interest rate.,"It plans to disclose on an annual basis on its website the actual results of the KPIs and the achievement of the SPTs for the reporting period, as well as information on the borrower's latest sustainability strategy in relation to the KPIs and the SPTs."
"Kimura Sekkei Co.,LTD.",Others (including service industry),"The Chugoku Bank, Ltd","December, 2023",5 years,Okayama economic research institute,0.05,billion yen,"ZEB conversion rate（％） 
【Target】
FY2024 35％ or more  
FY2025 50％ or more  
FY2026 50％ or more  
FY2027 50％ or more ",The system is designed to apply a pre-determined reduction in interest rates when the SPTs are achieved.,Submit documents showing the status of achievement of the SPTs as of the judgment reference date in the prescribed form once a year until the fulfillment of the obligations is completed.
RESIDENTIAL REAL ESTATE,Real estate and construction,"The 77 Bank, Ltd.","December, 2023",ー,"77 Research and Consulting Co.,Ltd.",0.3,billion yen,"Increase the number of renovated aged condominiums of 25 years or older sold annually to 2,000 units or more by FY2028. (Currently, about 1,000 units/year)","The incentive design is set to reduce the interest rate when the SPTs are achieved. The interest rate reductions upon achievement are not cumulative, and if the SPTs are not reached, the interest rate is raised by the same level as the reduction.","Once a year, the SPTs shall report information on the status of achievement, etc. of the SPTs. The report shall include prima facie evidence and data necessary for the verification work. Publication of the contents of the reports on the Borrower's website, etc. shall be at the discretion of the Borrower."
" OTSU REITO KOGGYO
(大津冷凍工業)",Real estate and construction,Kyoto Chuo Shinkin Bank,"December, 2023",ー,"Japan Credit Rating Agency, Ltd.　※",ー,ー,"Achieve a reduction rate of -6% in the business sector, -4% in the industrial sector, and -2% in the transportation sector (all annualized), which is equivalent to the target reduction rate under Kyoto Prefecture's emission reduction plan, reporting, and announcement system for business operators (specified business operator system).
【Details of initiatives】
Promoting frequent power-saving efforts by employees, and reducing CO2 emissions by setting air conditioners at appropriate temperatures","If the SPT is not met/achieved, the interest rate will increase/decrease from the time of interest payment after the determination date until the next determination.","Once a year until the loan is repaid, the borrower's CO2 emission reduction plan and reduction report will be published on the Kyoto Prefectural Government's website."
"Hokkaido Electric Power Co.,Inc.",Energy,Meiji Yasuda Life Insurance Company,"December, 2023",10 years,"Rating & Investment Information, Inc.　※",7,billion yen,"Reduce CO2 emissions from the Group's power generation divisions by 50% or more in FY2030 (compared to FY13), as stated in the Hokuden Group Management Vision 2030",The incentive design reduces the interest rate based on the contract when the SPT is achieved.,"The borrower will report to the Loan Department once a year over the loan term, depending on the borrower's fiscal year, on the status of achievement of the SPTs and other information. The report will include evidence, data, and other prima facie evidence necessary for verification work. Publication of the contents of the reports on the borrower's website, etc. will be at the borrower's option."
"Nomura Real Estate Holdings, Inc.",Real estate and construction,"North Pacific Bank,Ltd.","December, 2023",ー,"Rating & Investment Information, Inc. ※",ー,ー,"・Reduce total direct (Scope 1) and indirect (Scope 2) GHG emissions by 35% (compared to FY2019) 
・Reduce total GHG emissions in Scope 3 by 35% (compared to FY2019)",Preferential applicable interest rates based on achievement of SPTs,"Nomura Real Estate Holdings, Inc. will report emissions for each of Scope 1, 2 and 3 on its sustainability website and in its Sustainability Report, along with information on its sustainability policy and governance."
"Nomura Real Estate Holdings, Inc.",Real estate and construction,"THE BANK OF KOCHI, LTD.","December, 2023",ー,"Rating & Investment Information, Inc. ※",ー,ー,"・Reduce total direct (Scope 1) and indirect (Scope 2) GHG emissions by 35% (compared to FY2019) 
・Reduce total GHG emissions in Scope 3 by 35% (compared to FY2019)",Preferential applicable interest rates based on achievement of SPTs,"Nomura Real Estate Holdings, Inc. will report emissions for each of Scope 1, 2 and 3 on its sustainability website and in its Sustainability Report, along with information on its sustainability policy and governance."
