"Title","Created","LastEdited","Agency","Description","ProblemBy","ProblemOf","Status","Votes","ID"
"Auckland Transport Complaints Data","2011-10-10 19:32:33","2021-03-03 15:11:26","Auckland Transport","Would like to see details on complaints received by Auckland Transport/MAXX regarding Auckland's public transport providers.  Ideally, this would include a categorisation of the complaint (i.e. customer service, punctuality, service standard, etc) or the raw complaint minus the identifying details.  These would need to be grouped based on target service operator to allow categorising problem areas.","","This would allow identification of existing problem areas in the Auckland public transport system and assist in making informed suggestions to Auckland Transport/Auckland Council on ways to improve the public transport system to make it more appealing to the Auckland public","Agency responded","16","59"
"Prison population","2011-11-28 22:50:28","2016-03-29 12:46:18","Department of Corrections","Quarterly or annual tables of total prison population going back as far as possible (in one statistics department report there was a figure with data back to 1880). Most recent years are available through the corrections website.

A csv file with the date and the total prison census is all that is required.","","New Zealand has a high rate of imprisonment relative to (most) other OECD countries. Releasing these data may help improve public debate around this issue.","Agency notified","16","66"
"New Zealand Public Holidays","2012-03-29 10:48:41","2020-08-26 11:11:48","Department of Labour","A web service or other easily machine-consumable dataset containing current and future public holiday dates, including observation dates for those falling on weekends","","Making it possible for small businesses, service providers and cash-strapped government departments to use the data for scheduling, rostering, charging, etc in an affordable manner","Dataset added","16","84"
"New Zealand Patent filings","2012-05-09 16:15:51","2024-01-11 10:17:24","Intellectual Property Office","Patent information held by the NZ Intellectual Property Office, including patent applicants, inventors, addresses, patents numbers, classification codes & classes and WO and PCT information. ","Analysis of patent data has been shown to be an important part of understanding innovation. Other patent offices (e.g. US, Japan, Europe) make complete data sets available for analysis, however, this data does not give a full picture with respect to New Zealand.","Patent information is already somewhat available via patent searches on the NZIPO website, but are limited to 500 results and results are poorly formatted making them difficult to use with analytic software. ","Agency notified","16","91"
"Contamination Register Shape File","2012-06-23 16:11:33","2016-05-24 10:37:06","Auckland Council","A GIS (Shp) file on what land is listed on the Council Register as being a contaminated site. Preferably in the format of NZGD49 / New Zealand Map Grid (EPSG:27200)","Freeing up Council time to focus on getting on with various Environmental Activities they carry out.","Opening this data would help solve key issues such as calling the Council in the various areas and wasting their time to find if a parcel of land is listed in the Contamination Register.","Agency notified","16","98"
"Property transfer sales data","2019-11-21 11:40:52","2024-04-12 12:53:22","Quotable Value Limited","I would like to request that the data showing the sales price and date of property in NZ be made publicly available. This data should be accompanied with an identifier to link the data with Linz section or address data. The data does not need to have any personal identifiable information such as seller or buyer information. Only the property, price and date is required.","If the data is available then the building of new homes, or maintenance of older homes can be done more accurately which will reduce risk and failure of new home buyers, home building companies and planning. ","Housing crisis and affordability of homes through better data insight and planning.
Opening this data will allow small companies and researchers to develop products or reports to identify property growth areas, property predictions, city planning research etc. This will help make property more affordable, predictable and available. Innovative young companies can come up with new ideas to help solve the housing problem and also help new home buyers make better choices on where to look for a home.","Agency notified","16","441"
"DOC tracks and huts","2011-04-27 11:43:50","2018-01-30 20:09:14","Department of Conservation","Making the data on this page available on data.govt.nz - http://assets.digitalnz.org/tmp/mixandmash/departmentofconservation/  - was originally used for the 2010 Mix 'n' Mash comp.","Using the data will open up opportunities for use in the tourism sector - for i/web apps and geodata applications.","It is impossible to get a comprehensive set of data of tracks etc for use in the leisure/tourism industry.","Dataset added","15","16"
"Burglary/Break-ins by Street","2016-03-02 00:15:45","2024-05-08 22:01:16","New Zealand Police","A data-set that contains burglary/break-ins or other related activities within a street or a smaller boundary which may be a mashblock or certain area.","","A data model that can provide precaution for residence for the safety concern, also, the data release would be make monitoring the crime trend in terms of location easier. There are some data on the web for the eastern suburbs of Auckland which is out of date (2010-2011).","Agency notified","15","273"
"Total cost of Diagnostic Imaging ACC Claims by modality ","2020-10-15 10:05:20","2020-11-24 16:15:49","Accident Compensation Corporation","I am looking for time-series data that shows the total cost of diagnostic imaging services that ACC funds each year, broken down by the different modalities. The modalities of interest are: 
- Ultrasound
- Diagnostic imaging
- Computer Tomography
- MRI
- Nuclear Medicine
- Mamogram
- Positron Emission Tomography Scan
- Angiography
- Fluoroscopy","","This would provide more clarity around what modalities of diagnostic Imaging ACC is funding.   ","Agency notified","15","537"
"Could I please get an updated list of accredited employers","2022-10-10 03:04:25","2024-03-12 15:01:22","Ministry of Business Innovation and Employment","Could I please get an updated list of accredited employers","Applying for jobs and employment online","My clients who want to be employed in Engineering, IT, Construction, Healthcare and many other sectors ","Agency notified","15","814"
"Christchurch CBD Demolition GIS data","2011-09-29 15:20:46","2015-10-16 11:40:03","Canterbury Earthquake Recovery Authority","CERA manages the demolition process for the CBD. This request is for vector GIS data of the polygons of buildings (harder, but more accurate) or property boundaries (easier, but more approximate) in the CBD. The polygons should have attribute data that mark the demolition status e.g. no demolition/ok/to be repaired, demolition planned, demolition underway, demolition complete. Ideally this could be published, and regularly updated by posting to the LINZ Data Service.","Making current data about the state of demolitions in the Christchurch CBD would enable better visualisations to be made available about what has been demolished, and what is still to be demolished.","The citizens of Christchurch still cannot access the CBD, and don't have a clear handle on the extent of buildings to be demolished in the CBD.","Dataset added","15","56"
"Location of Housing NZ owned properties","2017-09-22 23:13:35","2023-08-18 09:59:49","Kāinga Ora – Homes and Communities","With the increase in building required to meet demand I see it of public interest to have access to data that indicates which properties are owned by the state.","visibly seeing the location of state housing","Be more involved in land development and management ","Agency notified","15","323"
"NZ national liquefaction hazard map (.shp)","2019-05-16 18:54:22","2023-10-26 23:39:17","GNS Science","I am looking for the impact of liquefaction on the future earthquakes and requesting NZ national liquefaction hazard map (.shp) ","It will help me to better visualise and track the high-risk areas.","evaluating other Liquefaction models for NZ","Agency responded","15","397"
"Christchurch 1/50 & 1/200 yr flood","2019-07-22 00:27:44","2024-05-01 21:45:10","Christchurch City Council","Kia ora,

I am trying to find the data set for the 1/50 & 1/200 year flooding events for Chch.

https://www.ccc.govt.nz/services/water-and-drainage/stormwater-and-drainage/flooding/floorlevelmap/

This data should be able to be added to Canterbury Maps website.","Being able to Overlay both the Technical Category overlay and the Flooding overlay in Canterbury Maps.","Needing to go to two different websites to find out the Technical Category of the land (https://mylandzone.canterburymaps.govt.nz/#/) and whether the land has any issues regarding flooding (https://www.ccc.govt.nz/services/water-and-drainage/stormwater-and-drainage/flooding/floorlevelmap/).

If it was on Canterbury Maps (The Technical Category is already on Canterbury Maps) then it would help first home buyers who need to meet certain criteria to be able to purchase a house with the help of a mortgage. ","Agency notified","15","414"
"Local Council Property Data","2013-08-20 08:33:56","2023-12-16 04:34:02","Land Information New Zealand","Data held by councils on properties in their area, eg geographic coordinates, property boundaries or size, street address, land and capital values, zoning category, and other basic metadata.

Some councils already make this data available, eg via the Auckland Council GIS Viewer. However data for only a small number of properties can be extracted at any one time. ","Allowing independent researchers to undertake geospatial analysis of property values, property sizes, council zoning, and other characteristics.","Understanding relationships between property values and spatial characteristics (eg proximity to amenities or transport infrastructure). Understanding effect of council spatial plans on property values and urban growth. Understanding how council zoning decisions change over time. Understanding relationships between property values and other characteristics eg income levels, crime rates, education, etc. Understanding how urban density (average property size) varies across time and space.","Agency notified","15","162"
"town region","2022-08-30 08:55:04","2022-11-25 05:12:46","New Zealand Post Limited","Please can I get a list of New Zealand towns/villages/cities by region (Canterbury, Waikato, etc.)","Currently, my database has towns/cities but not regions","It would allow me to group my customer database by region","Agency notified","14","782"
"Anterior cruciate Ligament Reconstruction Statistics","2020-10-13 11:04:48","2020-11-04 17:00:52","Accident Compensation Corporation","I am after the details of ACL injuries requiring reconstruction across the regions in New Zealand. My research is looking at the role of using new technology in the rehabilitation process. Details about the number of total ACL injuries requiring reconstruction, Date of initial injury, Date of reconstruction surgery, location and method of injury, injury demographic etc would be useful. A CSV file of the data is prefered
","allowing new research into rehabilitation technology and assist the development of new recovery methods to allow better and faster return to work outcomes.","This data would allow me to complete my research proposal and provide rationale for the research to be conducted.","Agency responded","14","534"
"Quotable value Par_ID to VNZ Match","2011-06-28 18:01:56","2023-06-12 10:11:53","Quotable Value Limited","Allow authorized access to relevant authorities to the VNZ data set","","This data set would make Regional Authorities jobs much easier, when trying to identify property owners for Rating and Public notification of plan changes affecting land owners","Agency notified","14","31"
"List of NCEA Achievement and Unit Standards","2011-08-11 14:24:12","2024-05-05 21:55:47","New Zealand Qualifications Authority","A list of NCEA assessments available for the current year. This would include the amount of credits for the assessment, level, whether it's Internal or External, a link to the PDF/DOC version of the standard, and if the standard is an Achievement or Unit standard. 
","Allowing developers to design better and easier to use methods of accessing NCEA assessment information for secondary school students.","Students not being able to access specific resources for their assessments due to the confusing layout of the NZQA website. ","Agency responded","14","42"
"RAMM Carriageway Table for Auckland","2017-12-01 10:11:39","2023-06-26 14:56:09","Auckland Council","Need the RAMM Carriageway Table for Auckland in order to collect data for new works to be submitted as RAMM Data. Required specifically is the start and end points, in other words the direction, of the RAMM chainage for existing roads. CSV would be the preferred format. Dxf, dwg would also be helpful.","Using existing RAMM chainages to define the positions of new assets.","Determining from which side of an existing road the RAMM chainage is measured.","Agency responded","14","330"
"Treaty of Waitangi Settlements and Claims","2012-03-22 09:58:46","2023-05-29 15:14:03","Ministry of Justice","either a list of properties subject to Treaty of Waitangi Settlements and Claims or a geographic dataset (GIS)","making it easier to obtain and view areas subject to treaty claims and settlements.  Make it easier to contact affected parties, make it easier to see how many affected parties there are.","Reading through 200+ page documents to find out which properties and areas are subject to claims and settlements, especially when mapping and notification of affected parties is required.","Agency notified","14","83"
"Wheelchair users in NZ","2013-01-22 14:39:47","2022-05-13 13:58:01","Ministry of Social Development","How many wheelchairs users are there in NZ please?

If possible, I would like to know how many can independently transfer themselves in and out of their wheelchairs too.

Thank you.","My job is to move IHC away from daycentres and towards proper community inclusion, so I have to do all I can to ensure the community is ready for us.  Having this data will help me make this happen, at least in terms of toilets- a crucial part of everyday life- imagine if you could only go to the toilet in your own home- how disabling would that be?","Govt is shifting towards closure of 'daycentres' for people with disabilties.  Currently in NZ there are NO publicly available toilets with hoists and changebeds.  When we have few daycentres this will mean people who use wheelchairs and can't self transfer on a toilet (most of them) will only be able to use the loo in their own home.  Staff don't manually lift.  I need the numbers to ascertain the numbers/locations publicly accessible toilets should be available in NZ, in order to include this information on a grant request and a paper I want to put to MSD.","Agency responded","14","130"
"School disaster exercise data","2013-05-16 04:52:19","2015-10-19 10:25:44","Department of Internal Affairs","In 2012, the Department of Internal Affairs' Research and Evaluation Services team surveyed schools to assess how many teachers and schools were using “What’s the Plan Stan?”, their satisfaction with the resource, and their engagement with CDEM Groups. This survey also included questions on school disaster exercises and their use and awareness of Traumatic Incident Teams, as mentioned in the published report, online at: http://www.civildefence.govt.nz/memwebsite.nsf/wpg_url/for-the-cdem-sector-public-education-whats-the-plan-stan?opendocument

The results from the survey Questions 8 and 9 on school exercises and simulations were not in the report. There is a sub-heading for ""Exercises and Simulations"" on page 16 of the report, but the text following goes into the data from Questions 10 & 11 on the level and usefulness of What's the Plan Stan. It seems this section may have been accidentally left out. We would like access to the data from survey Questions 8 & 9. These surveys went to every primary school in New Zealand. ","","At the Joint Centre for Disaster Research, we are writing up research results from ShakeOut, the national ""Drop Cover and Hold"" drill that took place in September 2012. We had worked collaboratively with DIA on this survey as the data was intended to be our pre-ShakeOut baseline data on school-based disaster exercises nationally. Unfortunately DIA staff who led the survey are no longer at DIA. This data will help us determine if ShakeOut increased the number of schools nationally who have done a ""Drop Cover and Hold"" drill. We'd appreciate any help you can provide tracking that data down. ","Agency responded","14","149"
"School Term Dates","2014-12-16 10:34:07","2024-05-06 14:04:45","Ministry of Education","An API to pull the official date ranges of upcoming school terms from this year into the future. Currently these are available as an iCalendar feed (http://www.education.govt.nz/ministry-of-education/school-terms-and-holidays/icalendar/) however the way it is structured is designed around being human-viewable (appointments for significant dates) rather than for software (date ranges).","","Many school websites are being upgraded to the next generation and could benefit from an automated feed of this data. It would also help operational systems for programmes that interact directly with schools.","Agency notified","14","224"
"raw data from traffic enforcement cameras","2011-04-06 15:42:59","2015-10-16 11:12:59","New Zealand Police","Images from traffic enforcement cameras are photos taken in public places, so they pose no privacy issues. Since they're products of an automated process rather than artistic works, there aren't any copyright issues. Also included would be automatically collected information derived from the image. Not necessarily included would be any manual information or information created from the point a human decision has been made to take legal or administrative action based on an image
","enabling interested parties to browse the images and check for accuracy","public scrutiny of police in the area of traffic enforcement","Agency responded","13","6"
"API access to current water use restrictions","2017-06-19 22:27:56","2023-09-13 08:24:04","Greater Wellington Regional Council","Can we have current water restrictions in a data feed? Machine readable. Can I turn on the garden tap now, yes/no. When can i turn next turn on the tap, in iso 8601. 
","Allows automation of vegegarden irrigation and lawn spinkers.

(e.g. data that describes that watering isn't allowed until sunset, or between 6pm and 8pm only, or on 2nd day, or no water at all. )","Can we turn on the vege garden irrigation? Can i put the sprinkler on the lawn? Currently i get this from news media stories, press releases, and wherever a local govt has hidden it in their idea of information infrastructure.  It's unrealistic to research this constantly. ","Agency notified","13","312"
"Updated List of Accredited Employers with Imigration New Zealand","2023-02-20 13:43:13","2024-01-08 15:43:39","Ministry of Business Innovation and Employment","Please may you email me the upated list of accredited employers ","","I will be able to use the data to target companies that are already aligned to accept migrants. ","Agency notified","13","864"
"List of accredited employers (healthcare)","2023-03-07 10:38:06","2024-05-18 21:33:17","Christchurch City Council","I would like to ask for list of accredited employer regarding health care (eg. Rest homes, hospitals and villages) who would give job offer so I can apply for a work visa.","This is for me to save time and find the best employer that would grant a job token for working visa application.","This data would fasten my job seeking process.","Agency responded","13","871"
"Salaries and Wages","2013-05-02 21:30:01","2022-10-08 20:30:49","Inland Revenue Department","Can you please provide me with the salaries and wages with specific job titles, fulltime and parttime within the community social services sector in New Zealand. I am focusing in particular on Womens Refuges and Food Banks.","would solve this problem by providing accurate data ensuring employees within our organisation are paid at the industry standard rate.","would solve the problem of developing pay scales within a community social services organisation based on current accurate salaries within similar social services sectore","Agency responded","13","148"
"NZ Post Codes","2022-03-11 18:29:09","2024-02-24 11:42:41","New Zealand Post Limited","We are looking for a complete list of NZ Post Codes in order to validate the postal code that is supplied by our customers","","Validating NZ Postal Codes to ensure no invalid data (Post Codes) are captured","Agency notified","13","729"
"NZ Gazette historic editions","2022-03-12 14:25:38","2024-04-12 12:42:04","Department of Internal Affairs","NZ Gazette has been published since 1841 but is only fully available online for issues since 2000.

Christchurch City Council has scanned PDFs of the Gazette available from its central library, so the work to scan the Gazette has been done at least once. It looks like those scans might be distributed by LexusNexus, but this is presumably Crown copyright and one of the most important government publications. It shouldn't only be available through a private vendor.

Rights for the government to distribute the PDFs must surely be part of the copyright agreement with LexusNexus. If not, the agreement should be changed or the Gazette should be re-scanned. If you're going to make it available under a Creative Commons license, as you do for current editions, you could probably get Google to do it for free and provide a full-text search service.","Providing access to these Gazette editions online where almost anyone can access them at any time of a day, rather than at a small number of limited-access locations (like the National Library).","Researching the history of New Zealand, especially our government. Researching dates and specific text of orders and proclamations.","Agency notified","13","730"
"Free and paid council parking locations within Dunedin City","2015-03-09 13:18:34","2021-09-21 19:41:59","Dunedin City Council","locations of streets or buildings where free, timelimited and paid council parking is available within the CBD of the above city. Excel spreadsheet format would be suitable.","allowing ratepayers to see where council parking is available before paying for privately owned parking","best use of free parking resources within each of the CBD","Agency responded","13","238"
"Public Holidays","2015-06-23 12:57:56","2021-05-18 23:25:01","Auckland Council","Provides the next two years New Zealand public holidays (including provincial holidays) in machine readable format (eg JSON). For example:
[{""province"":""all"",""date"":""2015-12-25"",""description"":""Christmas Day""}]","","This data is critical for any system dealing with finance, e-commerce and markets. Being able to programmatically access this data means that systems can be built that update themselves with future public holidays and don't need to be updated by hand.

It's important that this resource is durable though continuing to report upcoming public holidays year after year.","Agency notified","13","247"
"Gender pay gaps by individual ministry or agency ","2015-11-02 17:46:47","2021-05-31 11:13:10","State Services Commission","I would like you to release the individual gender pay gaps that make up the 14.1 pct gap reported as the Public Sector pay gap. So for example, what is the Ministry of Health's gender pay gap, Treasury's, the Ministry for Women etc etc. ideally these should be measured as per Statistics New Zealand's suggested method - median hourly wages, but failing that the method that went into the aggregate number would do. If the methods differ, I would still like to see the different measures of gender pay gap. ","Sunlight is the best disinfectant.  It's an issue that affects 51 pct of the population. ","This is a serious issue for New Zealand women, who are earning, on average 14 pct less than men in the public service. Many NZ women are employed in the public sector so understanding which government departments are doing well i.e. have a narrow or non-existent gap versus those that have a wide gap, will help people and the agencies themselve understand  who needs to do more work in this area. An aggregated number allows poor performers to avoid the  transparency that is needed to tackle this problem.","Agency responded","12","261"
"Parliment bill voting records","2016-05-06 17:34:40","2024-04-12 12:59:38","Parliamentary Service","The purpose of this request is to transparently reveal what each member of Parliament is voting at each stage of each bill.

Ideally, the breakdown of information would be separated by bill, then would list member names, vote result (yes, no, abstain, absent, whatever is available, etc). If possible, can you include which party each member is a member of.

Is it possible to also have this data maintained over time? I'm happy to subscribe to some kind of file that contains updated member voting information. Is this data-maintenance request at all feasible?

Please contact me to discuss if anything is unclear, I would welcome any information you may have about how to get this information of member voting breakdown.","Providing the voting records of each member digitally to the NZ public will greatly increase the transparency of member voting in Parliment.","Transparent representation and digital access to information about how the NZ public is represented by our voting members of Parliament.","Agency responded","12","276"
"Councillor Voting Records for Auckland Council","2016-08-17 16:29:18","2024-02-01 22:12:29","Auckland Council","I would like a computer readable record of the votes made by councillors, since at least the last local-body elections, for each resolution where a vote was taken. Currently these are only available as part of the meeting minutes, and are not easily parsed.","Opening this data would allow for council candidates to be tied to their voting records, and allow people (such as myself) to build tools for voters to engage with their local body candidates.","Opening this data would provide for solutions to increase transparency and engagement of voters in local body elections.","Agency responded","12","287"
"Release all cause mortality data","2022-10-04 18:04:24","2022-10-30 08:23:24","Accident Compensation Corporation","Provide data to public on all cause mortality","","Provide honesty and integrity of data ","Agency responded","12","800"
"wind speed data","2012-02-10 13:32:32","2023-04-17 19:28:29","National Institute of Water and Atmospheric Research Limited","I require wind speed data of new zealand of any week of january. I require it because I am a Ph.D. student and I am working on it. I want hourly basis data if possible.","","I am working on the prediction of wind speed and if my research is successful then it will benefit the govt. as well as the society.","Agency notified","12","78"
"Antidepressant drug prescriptions","2013-02-16 17:31:39","2015-10-16 13:16:53","Mental Health Commission","The number of anti depressant medication prescriptions with historical values. 
- Number of prescriptions issued each month 
- Date of issue
- The functionality of the antidepressant eg SNRI SSRI 
- The geographical location of the prescribing health professional
- Legal status of the patient, ( Incarcerated or not, recent criminal charges, death/suicide etc)


","Allowing transparency on ratio's of new criminals vs anti depressant withdrawal timeframes","Ascertaining trends in the legal status of those who are withdrawing from antidepressant medication","Agency notified","12","134"
"Ministerial List","2013-07-14 17:09:14","2024-04-12 13:04:42","Department of the Prime Minister and Cabinet","Would it be possible to get a data feed of the data contained in http://www.dpmc.govt.nz/cabinet/ministers/ministerial-list ?

Having an associated data feed of the portfolio information that is linked to from the portfolio names would also be handy.

Having this in XML, JSON and/or CSV would be ideal.","removing the requirement to scrape the HTML that presents it.","cross indexing ministers and their portfolios, initially on http://www.adoptanmp.co.nz/ but I can see this being useful in other scenarios.","Agency notified","12","156"
"Provinces | Cities | Towns | Suburbs | Post Codes","2022-02-12 05:56:30","2023-09-06 11:21:38","New Zealand Post Limited","Do you have a list of all New Zealand: Provinces | Cities | Towns | Suburbs | Post Codes","","Identifying potential duplicity of (ambiguity) of destinations","Agency notified","12","723"
"Time series statistics for land and capital property values of various classes, both nationally and for geographic areas","2022-03-12 15:28:30","2024-04-12 12:38:23","Quotable Value Limited","The country is in such desperate need for this data that whatever formats and data structures you can provide would be a great start!

The key things we need are:

* break down by land vs capital value <- this is the most essential, we need to know whether the main problem is land prices or construction costs

* time series <- we need to know how things have been changing over time, this is critical to identifying causes and solutions

* break down by geographical location <- obviously the more fine-grained the better

* break down by property class <- separate out residential from rural, commercial, industrial and apartments from detached dwellings... again, whatever classification you have is fine, some data is better than no data
","It is clearly infeasible to request data from 67 different local councils. It is impossible to get consistent and full national coverage through this approach.

It's also impossible to analyse the housing price problem through the one publicly available statistic, the national house price.

The national house price doesn't account for the different between land value and improved value.

It doesn't account for local variation (e.g. price variation between big cities and regional centres, urban cores and suburbs, rural areas close to metropolitan areas and remote rural areas).

It doesn't tell us what's happening to apartment prices.

It doesn't tell us anything about the prices of land in office buildings, industrial property or agriculture land. This last point might not be directly related to the housing crisis but it might still yield insights - who knows? We don't know what we can learn from the data unless you release it. And the price of non-residential properties does have a bearing on the effect of various proposed tax policy solutions to the housing crisis.
","For maybe a decade now, property prices have been the most important political issue in New Zealand but there are few publicly available sources of statistical information other than ""the average house price"" which is a severely limited metric. It only includes residential properties, only tracks capital value and doesn't show regional differences.

It's extremely difficult for the media, public and expert groups to assess the value of various proposed policy solutions without high-quality data.

Moreover, this information is clearly available. The land and capital value of every property in the country is assessed on a regular basis for rating purposes. This is the most important crisis affecting our country pre- and post-COVID.

Statistical data on property prices is clearly of huge public interest and any claims of commercial sensitivity are transparently illegitimate. Similar requests seem to have been met by bureaucratic buck-passing and general dodging tactics. The data exists. You have it. It is of an extremely high degree of public importance. There is no legitimate reason not to release it. Please make it publicly available.
","Agency notified","12","731"
"Free and paid council parking locations within Auckland City","2015-03-06 23:14:25","2020-01-24 22:29:38","Auckland Transport","locations of streets or buildings where free, timelimited and paid council parking is available within the CBD's of the above citys.

Excel spreadsheet format would be suitable.","allowing ratepayers to see where council parking is available before paying for privately owned parking","best use of free parking resources within each of the CBD","Agency responded","12","235"
"A breakdown of MSD's child abuse notification and substantiation data","2016-03-17 14:33:57","2017-10-20 09:29:47","Ministry of Social Development","I would like a breakdown of MSD's child abuse notification and substantiation data into its component categories of emotional, physical, sexual and neglect and for this to be done over the period 2011-2015. This needs to be done by CYFS districts and for distinct children and young people as well as overall. E.g

			         2011, 2012, 2013, 2014, 2015			
all notifications  and notifications of distinct children and  young people			
	             emotional	physical	sexual	neglect	total	
CYFS Districts						
						
			         2011, 2012, 2013, 2014, 2015			
all substantiations and substantiations of distinct children and  young people			
	               emotional	   physical    sexual	  neglect    total	
CYFS Districts						
","Working out why some areas do well, while others struggle will help in finding solutions to this problem. ","This data is already collected, but just not available on MSD web-pages. Child abuse is a huge issue and there is a wide variation in incidence and prevalence of child abuse notifications and substantiations across districts in New Zealand. ","Agency responded","11","275"
"Registered Social Workers","2022-09-19 21:37:06","2022-10-05 19:56:13","Social Workers Registration Board","Hi there, I am a Ph.D. student at Massey University. My research is about Workplace Health Promotion. For my research, I need the employees working in NZ to know their perception of health promotion at their workplace. Can you please provide me a list of all registered social workers working in NZ along with their contact emails? I need them to fill out a survey for this research.  ","","By obtaining the information from social workers can help promote their wellbeing at their workplace. ","Agency notified","11","793"
"Councillor Voting Records for Wellington City Council","2016-07-20 22:44:33","2023-06-29 17:11:40","Wellington City Council","I would like a computer readable record of the votes made by councillors, since at least the last local-body elections, for each resolution where a vote was taken.

Currently these are only available as part of the meeting minutes, and are not easily parsed.","Opening this data would allow for council candidates to be tied to their voting records, and allow people (such as myself) to build tools for voters to engage with their local body candidates.

If this data is made available, I intend to build a website to allow voters to compare their positions to those of candidates.","Opening this data would provide for solutions to increase transparency and engagement of voters in local body elections.","Agency responded","11","285"
"New Zealand hospitalisations for irritable bowel syndrome","2016-11-15 16:12:06","2023-06-22 11:56:08","Ministry of Health","We are doing research in the area increase of irritable bowel syndrome patients and would like to identify if in fact there is an increase and if it is so, we would like to explore this trend over time. It would be very helpful if a reasonable large time frame of data can be provided such as from the year 2000 till the most recent statistics, e.g. 2014 or even more recent data if available. Thank you for your support in furthering our research for the better of the community. 
","would give an insight on the New Zealand community suffering from irritable bowel syndrome (IBS) over the years and further clarify if the overall trend is in fact increasing. If factors such as ethnicity are included this can additionally provide deeper insights into the condition as we can then include this variable to determine the counts of IBS patients and see if there is a significant different in ethnicity for this condition. ","identifying if in fact the overall trend for irritable bowel syndrome (IBS) sufferers is increasing in the New Zealand community. If factors such as ethnicity are included this can additionally provide deeper insights into the condition as we can then include this variable to determine the counts of IBS patients and see if there is a significant different in ethnicity for this condition. ","Agency responded","11","297"
"Vehicle Makes & Models Dataset","2016-11-17 18:19:32","2024-05-08 09:53:39","Waka Kotahi (NZTA)","Our company is in the process of creating a website based in New Zealand for our network of vehicle dealers and are looking for a complete dataset of all passenger vehicles in New Zealand including the following vehicle details for each:
 
•         Years
•         Makes
•         Models
•         Vehicle body type
•         Transmission
•         Engine Size
•         GVM
•         Fuel Type
•         Country of origin
•         Fuel economy/UCSR/ANCAP Safety (http://rightcar.govt.nz/find.html)
 
Are you able to please send me through an estimated price for obtaining this data along with any other relevant information such as information included, update schedules, ongoing costs and data format etc. If you have any other similar services or data that you believe would be useful to us, please feel free to send that information through as well.
 
Thank you in advance for your assistance.
","Providing a reliable source of vehicle details","Not being able to find a reliable source of information","Agency responded","11","298"
"New Zealand Postcodes","2021-01-29 11:53:03","2022-11-25 05:12:00","New Zealand Post Limited","List of New Zealand Postcodes, Cities and North or South Island.","Allowing us to work out where new offices should be opened.
","Business planning","Agency notified","11","562"
"Christchurch CERA Zoning","2011-09-26 17:35:25","2024-02-02 14:20:29","Canterbury Earthquake Recovery Authority","Red, Orange, Green and White zones (as may be seen on Christchurch Recovery Map at: http://www.landcheck.org.nz/). I would like to be able to download an ESRI .SHP file directly, as we (and CCC) work with Map rather than Arcinfo...and the NZTM version rather than WGS84. I note the NZTM version at http://data.geospatial.govt.nz/ArcGIS/rest/services/CERA/CERA_ZoneMap_NZTM/MapServer) doesn’t give a generate .KML option, with only the image being available for export, as a .KMZ.... (rather than the layers available for the WGS84 version).

","Providing consistent GIS data source (not just viewable map) for Zoning layer at
http://viewers.geospatial.govt.nz/?Viewer=Christchurch%20Recovery%20-%20Public","Enable consistent planning data source for earthquake recovery","Dataset already listed","11","54"
"ANZ Truckometer Dataset","2017-07-24 14:30:18","2018-04-17 23:52:12","Ministry of Transport","The dataset is used as the primary input for the generation of the ANZ Truckometer Economic Index. 
A request is made for all the data points available describing the traffic volumes across the key intersections used under this study.","","This would allow researchers to experiment with refining the existing models for estimating current and future GDP. ","Agency responded","11","317"
"NZ Cities and postal codes","2022-11-09 16:47:30","2024-04-07 01:20:07","New Zealand Post Limited","I would like to request a list in either excel, csv format of a distinct list of NZ towns, suburbs, cities. It could be in the format as: Area Classification (whether it is a town or suburb), Town Name, Suburb Name, City Name, Post Code e.g. [Suburb, - , Parnell, Auckland, 1052] or [Town, Tairua, - , -, 3508]","using this list to correctly classify address street addresses into their appropriate regions - cities, suburbs and towns which is then going to be used in cleaning up customer addresses which are badly formated or incorrect.","incorrect and bad quality data in our CRM system. This data will help clean up the address fields saved in the database and potentially weed out duplicates.","Agency notified","11","831"
"Permanent and Long-term immigration","2018-01-15 19:31:45","2018-04-07 02:58:36","Statistics New Zealand","I  have this article (https://www.stuff.co.nz/business/80804893/the-migrant-debate-by-the-numbers-whos-really-coming-to-new-zealand) and am wondering whether I can use the data set for personal and non-profit use?","","Revising immigration, creating a set for hobby purposes. I.e. what I think it should be.","Agency responded","11","332"
"Ge-locations of Polling Places","2012-03-31 17:47:13","2020-12-03 10:29:26","Electoral Commission","A file containing the geographic coordinates of polling locations for the 2011 and 2008 elections (and earlier if available)","","Election results are already available by polling station, but spatial analysis of these results is not possible without geographic coordinates.","Dataset added","11","86"
"Paua quota management areas","2012-09-27 10:25:25","2021-11-17 12:55:19","Ministry for Primary Industries","A spatial data set (shapefile or other) showing the eight paua quota management areas currently in place in NZ's EEZ.","","To my knowledge no open spatial data sets are available that show quota management areas for any of the fisheries in NZ. Free access to such data would for example help with mapping fishery statistics.","Agency notified","11","117"
"Power demand for NI and SI","2012-11-15 13:40:18","2015-10-16 13:13:57","Electricity Authority","The power demand (power in W not energy) for a year or more. With a resolution on 1 hour or higher. Preferable separate for the islands. ","Shall be used to determine the power peak demands demand variations during a day for different seasons of the year. ","Determine the requirements of the NZ power system. And allow studies of  new power sources (for example more wind power)","Agency notified","11","123"
